champion_family,scenario,feature_type,model_name,model_id,artifact_path,model_artifact_size_bytes,deployment_type,api_required,local_only,runtime_dependency,token_cost_method,accuracy,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,false_positive_rate,false_negative_rate,roc_auc,inference_seconds,total_runtime_seconds,inference_seconds_per_email,throughput_emails_per_second,estimated_input_tokens,estimated_token_cost_usd,estimated_cost_per_email_usd,projected_seconds_10k,projected_seconds_100k,projected_seconds_1m,projected_cost_10k_usd,projected_cost_100k_usd,projected_cost_1m_usd,embedding_model,feature_generation_seconds
traditional_ml,original_test,tfidf,svm,tfidf_svm,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/tfidf_svm.joblib,943248,local,False,True,local Python ML stack,not_applicable,0.9918841851283177,0.9924167953939054,0.9919988770353734,0.9922077922077922,0.9918791882506335,6499,54,57,7067,0.008240500534106516,0.008001122964626614,0.999458246254164,0.0016,0.0016,1.2e-07,8548125.0,0,0.0,0.0,0.0012,0.0117,0.117,0.0,0.0,0.0,,
traditional_ml,level2_robustness,tfidf,svm,tfidf_svm,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/tfidf_svm.joblib,943248,local,False,True,local Python ML stack,not_applicable,0.9908605688381955,0.9904695164681149,0.9919988770353734,0.9912336068447998,0.9908109752184344,6485,68,57,7067,0.010376926598504501,0.008001122964626614,0.9992025460262551,0.0015,0.0015,1.1e-07,9118000.0,0,0.0,0.0,0.0011,0.011,0.1097,0.0,0.0,0.0,,
openai_embedding,original_test,openai_embedding,svm,text_embedding_3_large_svm,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/openai_embedding_text_embedding_3_large_svm.joblib,25478,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,estimated_from_character_count,0.9951012648972728,0.995645455822447,0.9949466591802358,0.9952959348451871,0.9951080007331059,6522,31,36,7088,0.004730657714024111,0.0050533408197641775,0.9998585155394707,0.1514,0.1514,1.107e-05,90336.856,4002573,0.520334,3.80445e-05,0.1107,1.107,11.0697,0.380445,3.804445,38.044454,text-embedding-3-large,
openai_embedding,level2_robustness,openai_embedding,svm,text_embedding_3_large_svm,/Users/tiencains/Documents/dissertation/dissertation process/code/phishing_email_detection/output/models/openai_embedding_text_embedding_3_large_svm.joblib,25478,api_embedding_plus_local_classifier,True,False,openai + scikit-learn,estimated_from_character_count,0.9943701104043284,0.9934182887550763,0.9957888826501965,0.994602173151069,0.9943082975741444,6506,47,30,7094,0.007172287501907524,0.004211117349803481,0.9998191226669629,0.0292,88.5056,2.13e-06,468390.411,4186072,0.544189,3.97886e-05,0.0213,0.2135,2.135,0.397886,3.978862,39.788623,text-embedding-3-large,88.4764
